registro_id,cola_type,mw,municipio,estado,query,query_url,suggested_class
SCCC-01061-2023,conexion,27.0,Apodaca,Nuevo León,"""Apodaca"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Apodaca%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00149-2022,conexion,26.5,El Carmen,Nuevo León,"""El Carmen"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22El+Carmen%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-01115-2023,conexion,25.75,San Nicolás De Los Garza,Nuevo León,"""San Nicolás De Los Garza"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22San+Nicol%C3%A1s+De+Los+Garza%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00701-2025,conexion,18.0,Ciénega De Flores,Nuevo León,"""Ciénega De Flores"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Ci%C3%A9nega+De+Flores%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00108-2026,conexion,17.5,Apodaca,Nuevo León,"""Apodaca"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Apodaca%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00057-2024,conexion,15.74,Ciénega De Flores,Nuevo León,"""Ciénega De Flores"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Ci%C3%A9nega+De+Flores%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-01132-2023,conexion,15.67,Ciénega De Flores,Nuevo León,"""Ciénega De Flores"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Ci%C3%A9nega+De+Flores%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00309-2025,conexion,15.0,Guadalupe,Nuevo León,"""Guadalupe"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Guadalupe%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00988-2024,conexion,15.0,Santa Catarina,Nuevo León,"""Santa Catarina"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22Santa+Catarina%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-01104-2023,conexion,14.75,San Nicolás De Los Garza,Nuevo León,"""San Nicolás De Los Garza"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22San+Nicol%C3%A1s+De+Los+Garza%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
SCCC-00178-2025,conexion,14.0,San Nicolás De Los Garza,Nuevo León,"""San Nicolás De Los Garza"" ""Nuevo León"" (MW OR megawatt OR ""parque industrial"") (planta OR fábrica) 2022..2026",https://duckduckgo.com/?q=%22San+Nicol%C3%A1s+De+Los+Garza%22+%22Nuevo+Le%C3%B3n%22+%28MW+OR+megawatt+OR+%22parque+industrial%22%29+%28planta+OR+f%C3%A1brica%29+2022..2026,unclear
