registro_id,cola_type,seed_id,operator,owner_class,confidence,municipio_key,estado,announce_date,cenace_mw,reported_mw,mw_clash,source_id,url,n_matches,promote,match_note
SCCC-00892-2024,conexion,lgmg_marin_2023,LGMG (Lingong Machinery Group),prc,probable,marin,Nuevo León,2023-10-16,28.5,,,reuters_lgmg_2023,https://www.reuters.com/business/chinas-lingong-mexico-plant-generate-5-billion-investment-2023-10-16/,1,review,"Only in-queue load row in Marín, Nuevo León inside announce−90/+540 days. MW from CENACE. Not a confirmed UBO. Human must still write the codebook note."
SCCC-00144-2025,conexion,aws_pedro_escobedo_2024,Amazon Web Services (AWS),us,probable,pedro escobedo,Querétaro,2024-02-27,71.0,,,quadratin_aws_qro_2024,https://queretaro.quadratin.com.mx/centro-de-datos-de-amazon-estara-en-pedro-escobedo-colon-y-el-marques/,1,review,"Only in-queue load row in Pedro Escobedo, Querétaro inside announce−90/+540 days. MW from CENACE. Not a confirmed UBO. Human must still write the codebook note."
SCCC-00427-2024,conexion,cloudhq_colon_2023,CloudHQ,us,probable,colon,Querétaro,2023-09-14,28.5,190.26,seed_reported_mw=190.26; cenace_mw=28.5,eleconomista_colon_dc_2023,https://www.eleconomista.com.mx/estados/Queretaro-afianza-la-instalacion-de-16-centros-de-datos-20230914-0057.html,1,review,"Only in-queue load row in Colón, Querétaro inside announce−90/+540 days. MW from CENACE. Not a confirmed UBO. Human must still write the codebook note."
SCCC-00816-2024,conexion,borgwarner_slp_2023,BorgWarner,us,probable,san luis potosi,San Luis Potosí,2023-07-06,19.5,,,borgwarner_pr_2023,https://www.borgwarner.com/docs/default-source/press-release-downloads/borgwarner-announce-investment-in-san-luis-potosi-to-expand-production-capabilities-of-emobility-technologies.pdf?sfvrsn=91fdc43d_1,1,review,"Only in-queue load row in San Luis Potosí, San Luis Potosí inside announce−90/+540 days. MW from CENACE. Not a confirmed UBO. Human must still write the codebook note."
SCCC-00140-2026,conexion,odata_el_marques_2025,ODATA (Aligned Data Centers),us,probable,el marques,Querétaro,2025-02-27,150.0,200,seed_reported_mw=200.0; cenace_mw=150.0,aligned_odata_qr03_2025,https://aligneddc.com/blog/odata-announces-energization-of-mexicos-largest-data-center-campus-solving-energy-scarcity-for-the-development-of-data-centers-in-queretaro/,1,review,"Only in-queue load row in El Marqués, Querétaro inside announce−90/+540 days. MW from CENACE. Not a confirmed UBO. Human must still write the codebook note."
SCCC-00556-2025,conexion,fermachem_lerdo_2025,Fermachem (Fermaca Dreams),mexico,probable,lerdo,Durango,2025-03-20,150.0,,,presidencia_fermaca_durango_2025,https://www.gob.mx/presidencia/prensa/presidenta-anuncia-inversion-de-3-mil-700-mdd-de-fermaca-dreams-para-construccion-de-centro-de-datos-y-planta-de-fertlizantes-en-durango,1,review,"Only in-queue load row in Lerdo, Durango inside announce−90/+540 days. MW from CENACE. Not a confirmed UBO. Human must still write the codebook note."
